Precision,Recall
"[1.0, 1.0, 1.0, 0.75, 0.8, 0.8333333333333334, 0.8571428571428571, 0.875, 0.8888888888888888, 0.9, 0.9090909090909091]","[0.008547008547008548, 0.017094017094017096, 0.02564102564102564, 0.02564102564102564, 0.03418803418803419, 0.042735042735042736, 0.05128205128205128, 0.05982905982905983, 0.06837606837606838, 0.07692307692307693, 0.08547008547008547]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.008547008547008548, 0.017094017094017096, 0.02564102564102564, 0.03418803418803419, 0.042735042735042736, 0.05128205128205128, 0.05982905982905983, 0.06837606837606838, 0.07692307692307693, 0.08547008547008547, 0.09401709401709402]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.008547008547008548, 0.017094017094017096, 0.02564102564102564, 0.03418803418803419, 0.042735042735042736, 0.05128205128205128, 0.05982905982905983, 0.06837606837606838, 0.07692307692307693, 0.08547008547008547, 0.09401709401709402]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.008547008547008548, 0.017094017094017096, 0.02564102564102564, 0.03418803418803419, 0.042735042735042736, 0.05128205128205128, 0.05982905982905983, 0.06837606837606838, 0.07692307692307693, 0.08547008547008547, 0.09401709401709402]"
"[1.0, 1.0, 1.0, 0.75, 0.8, 0.8333333333333334, 0.8571428571428571, 0.875, 0.7777777777777778, 0.7, 0.7272727272727273]","[0.008547008547008548, 0.017094017094017096, 0.02564102564102564, 0.02564102564102564, 0.03418803418803419, 0.042735042735042736, 0.05128205128205128, 0.05982905982905983, 0.05982905982905983, 0.05982905982905983, 0.06837606837606838]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8571428571428571, 0.875, 0.8888888888888888, 0.9, 0.9090909090909091]","[0.0034602076124567475, 0.006920415224913495, 0.010380622837370242, 0.01384083044982699, 0.01730103806228374, 0.020761245674740483, 0.020761245674740483, 0.02422145328719723, 0.02768166089965398, 0.031141868512110725, 0.03460207612456748]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0034602076124567475, 0.006920415224913495, 0.010380622837370242, 0.01384083044982699, 0.01730103806228374, 0.020761245674740483, 0.02422145328719723, 0.02768166089965398, 0.031141868512110725, 0.03460207612456748, 0.03806228373702422]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.8181818181818182]","[0.0034602076124567475, 0.006920415224913495, 0.010380622837370242, 0.01384083044982699, 0.01730103806228374, 0.020761245674740483, 0.02422145328719723, 0.02768166089965398, 0.031141868512110725, 0.031141868512110725, 0.031141868512110725]"
"[1.0, 1.0, 1.0, 0.75, 0.8, 0.8333333333333334, 0.8571428571428571, 0.875, 0.8888888888888888, 0.9, 0.9090909090909091]","[0.0034602076124567475, 0.006920415224913495, 0.010380622837370242, 0.010380622837370242, 0.01384083044982699, 0.01730103806228374, 0.020761245674740483, 0.02422145328719723, 0.02768166089965398, 0.031141868512110725, 0.03460207612456748]"
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8888888888888888, 0.9, 0.9090909090909091]","[0.0034602076124567475, 0.006920415224913495, 0.010380622837370242, 0.01384083044982699, 0.01730103806228374, 0.020761245674740483, 0.02422145328719723, 0.02768166089965398, 0.02768166089965398, 0.031141868512110725, 0.03460207612456748]"
